GEO/TIME,GDP,SENTIMENT,SNP_VOL,SNP_CLOSE,US_BOND_YIELD,BRENT,EA_PMI,DAX_CLOSE,DAX_VOL,LT_BOND_YIELD
2003Q2,0.014861739,-0.014342895,-0.059519424,0.048784418,-0.016351864,0.1185221,0.08712266,0.017467249,0.198416395,-0.120571429
2003Q3,0.028245389,0.054145516,-0.020537592,0.075657334,-0.084694979,0.11123816,0.033040422,0.052575107,0.001010494,0.191321926
2003Q4,0.017820405,-0.014767255,0.115869403,0.05633641,0.185558922,0.049824504,0.086197119,0.001019368,-0.071362013,-0.136415975
2004Q1,0.009579798,0.028673835,-0.062875847,-0.009834581,-0.167427698,0.002169521,0.110368592,0.022403259,0.151684924,-0.01122807
2004Q2,0.018611209,0.015837821,-0.065170944,-0.014331427,-0.024786023,-0.032245054,0.167575701,0.002988048,-0.076018297,-0.016323634
2004Q3,0.006491799,-0.016526349,0.125407803,0.05884585,0.037325118,0.066409945,0.06709085,-0.000993049,-0.009665252,-0.123520924
2004Q4,0.023104217,-0.018389347,0.072378923,0.014084427,0.101510724,0.049567648,0.080006038,-0.019880716,0.030548282,-0.078449127
2005Q1,0.021681856,0.016149871,0.23314153,-0.007230484,0.025722567,0.021432515,0.082395695,-0.011156187,-0.064367108,-0.085931219
2005Q2,0.015932743,0.045136681,0.009684491,0.040579939,0.046481753,0.11552218,0.19066374,0.01025641,0.039664253,-0.05443174
2005Q3,0.026962625,0.024635036,0.099624156,0.005826266,-0.083287916,0.052195342,-0.074670571,0.031472081,0.064904227,0.087432823
2005Q4,0.018537201,0.001187296,0.046276699,0.040712268,0.189514198,0.122952404,0.08567745,0.020669291,0.035156831,0.080783121
2006Q1,0.008468491,0.001185889,0.066569551,-0.001221597,0.115399095,-0.003108321,0.125985102,0.037608486,0.100021541,0.139817095
2006Q2,0.022945466,0.017471128,-0.043668717,0.016990833,-0.144054579,0.00919185,0.001246405,0.016728625,-0.063120105,-0.042431723
2006Q3,0.01725814,-0.020663562,0.095183072,0.071633392,-0.013801265,0.092851461,-0.142775065,0.011882998,-0.040339999,-0.00660651
2006Q4,0.027288494,0.009806835,0.102914398,0.016452737,0.352845244,0.065009015,-0.032115728,-0.002710027,0.018150138,0.063422547
2007Q1,0.035004709,0.016185991,0.063353177,0.058702461,-0.036174317,0.140912233,0.18731606,0.015398551,0.03772105,0.104408176
2007Q2,0.025476576,0.004344049,0.171987609,-0.013358162,0.071145942,-0.009245377,0.092879708,-0.029438002,-0.04576376,0.001450176
2007Q3,0.026812959,-0.045559401,0.034447903,0.009620714,-0.099945137,0.037829105,0.181535177,-0.035845588,-0.10117376,0.023445042
